Node ID, Recommended nodes
1 1 23 39 79 80 1 23 39 79 80 3 5 10 17 20 
2 3 5 10 17 20 25 31 33 38 45 48 51 55 59 64 
3 2 3 6 7 8 9 10 11 12 13 15 16 17 18 19 
4 3 5 10 17 20 25 31 33 38 45 48 51 55 59 64 
5 4 5 14 19 26 39 42 48 61 62 71 76 78 84 85 
6 3 5 10 17 20 25 31 33 38 45 48 51 55 59 64 
7 3 5 10 17 20 25 31 33 38 45 48 51 55 59 64 
8 3 5 10 17 20 25 31 33 38 45 48 51 55 59 64 
9 3 5 10 17 20 25 31 33 38 45 48 51 55 59 64 
10 10 18 22 23 24 25 26 27 28 29 30 31 32 33 34 
11 3 5 10 17 20 25 31 33 38 45 48 51 55 59 64 
12 3 5 10 17 20 25 31 33 38 45 48 51 55 59 64 
13 3 5 10 17 20 25 31 33 38 45 48 51 55 59 64 
14 3 5 10 17 20 25 31 33 38 45 48 51 55 59 64 
15 3 5 10 17 20 25 31 33 38 45 48 51 55 59 64 
